method,observed_f1_mean,worst_intervention_f1_mean,hidden_drop_mean,hidden_drop_max
intervendb_adaptive_openworld_selector,0.9943270088096009,0.9939763890437744,0.00035061976582634324,0.0035061976582634324
intervendb_coverage_lift_openworld_selector,0.9943270088096009,0.9939763890437744,0.00035061976582634324,0.0035061976582634324
intervendb_coverage_openworld_selector,0.9901603421429341,0.9898097223771078,0.00035061976582634324,0.0035061976582634324
intervendb_minimax_selector,0.9381113698779998,0.9381113698779998,0.0,0.0
intervendb_openworld_selector,0.9381113698779998,0.9381113698779998,0.0,0.0
intervendb_pareto_selector,0.9381113698779998,0.9381113698779998,0.0,0.0
intervendb_shift_guard_selector,0.9381113698779998,0.9381113698779998,0.0,0.0
intervendb_stability_selector,0.9381113698779998,0.9381113698779998,0.0,0.0
intervendb_conformal_tail_guard,0.9325339325983595,0.9317102640741581,0.0008236685242013764,0.0030118047038660833
intervendb_gated_conformal_tail_guard,0.9468856184494372,0.9160958184974121,0.030789799952025243,0.15269170051366554
intervendb_env_calibrated_ensemble,0.9221227258094109,0.8947481968738276,0.02737452893558335,0.26745770618999687
intervendb_counterfactual_ensemble,0.9233440470391814,0.8941555316703964,0.029188515368785105,0.2764505119453925
intervendb_observed_selector,0.9270601114677314,0.8598806242882443,0.06717948717948719,0.6717948717948719
intervendb_tail_guard_ensemble,0.9095133990175295,0.8268674498803728,0.08264594913715684,0.1352941176470588


