method,observed_f1_mean,worst_intervention_f1_mean,hidden_drop_mean,hidden_drop_max
intervendb_counterfactual_ensemble,0.9876549937483224,0.987654002257571,9.914907515377418e-07,2.2161401483922205e-06
intervendb_coverage_lift_openworld_selector,0.9876534746103022,0.9876534746103022,0.0,0.0
intervendb_coverage_openworld_selector,0.9876534746103022,0.9876534746103022,0.0,0.0
intervendb_openworld_selector,0.9876534746103022,0.9876534746103022,0.0,0.0
intervendb_pareto_selector,0.9876534746103022,0.9876534746103022,0.0,0.0
intervendb_stability_selector,0.9876534746103022,0.9876534746103022,0.0,0.0
intervendb_env_calibrated_ensemble,0.9876542550349398,0.9876532039991225,1.0510358171567091e-06,1.8995408805899672e-06
intervendb_conformal_tail_guard,0.9871602037347501,0.9845858077751721,0.0025743959595778687,0.00329738855746442
intervendb_tail_guard_ensemble,0.9751430947547624,0.97437463453657,0.0007684602181923239,0.00125527660989877
intervendb_adaptive_openworld_selector,0.9578910516336884,0.9318498153698339,0.026041236263854534,0.06242523517901122
intervendb_minimax_selector,0.9741140414615668,0.9187362442811317,0.055377797180435194,0.1504349179287532
intervendb_observed_selector,0.9741140414615668,0.9187362442811317,0.055377797180435194,0.1504349179287532
intervendb_shift_guard_selector,0.9741140414615668,0.9187362442811317,0.055377797180435194,0.1504349179287532
intervendb_gated_conformal_tail_guard,0.9194819133556282,0.8829401224919983,0.036541790863629964,0.062424888574118875


